Model;Decoration;K;Llk;AIC;BIC
LG;+G+I;49;-5437,96844;10973,93688;11125,22910
WAG;+G+I;49;-5442,14211;10982,28422;11133,57644
LG;+G;48;-5443,24890;10982,49780;11130,70242
LG;+G+I+F;68;-5436,70844;11009,41688;11219,37343
LG;+G+F;67;-5441,70141;11017,40282;11224,27177
VT;+G+I;49;-5460,78371;11019,56742;11170,85964
JTT;+G+I;49;-5476,51913;11051,03826;11202,33048
CpREV;+G+I;49;-5479,96759;11057,93518;11209,22740
RtREV;+G+I+F;68;-5469,55237;11075,10474;11285,06129
RtREV;+G+I;49;-5490,69000;11079,38000;11230,67222
Blosum62;+G+I;49;-5491,55090;11081,10180;11232,39402
Dayhoff;+G+I;49;-5527,30813;11152,61626;11303,90848
DCMut;+G+I;49;-5527,69638;11153,39276;11304,68498
Flu;+G+I+F;68;-5509,72638;11155,45276;11365,40931
Dayhoff;+G+I+F;68;-5514,62553;11165,25106;11375,20761
DCMut;+G+I+F;68;-5515,03892;11166,07784;11376,03439
Flu;+G+I;49;-5551,36286;11200,72572;11352,01794
MtZoa;+G+I+F;68;-5533,07544;11202,15088;11412,10743
MtREV;+G+I+F;68;-5545,69943;11227,39886;11437,35541
HIVb;+G+I;49;-5566,74771;11231,49542;11382,78764
HIVb;+G+I+F;68;-5557,99653;11251,99306;11461,94961
MtArt;+G+I+F;68;-5595,64149;11327,28298;11537,23953
AB;+G+I;49;-5643,86516;11385,73032;11537,02254
AB;+G+I+F;68;-5626,69829;11389,39658;11599,35313
MtMam;+G+I+F;68;-5657,70522;11451,41044;11661,36699
MtZoa;+G+I;49;-5700,52439;11499,04878;11650,34100
HIVw;+G+I+F;68;-5684,77745;11505,55490;11715,51145
MtREV;+G+I;49;-5751,79795;11601,59590;11752,88812
HIVw;+G+I;49;-5775,39381;11648,78762;11800,07984
LG;;47;-5778,87508;11651,75016;11796,86718
MtArt;+G+I;49;-5843,38595;11784,77190;11936,06412
MtMam;+G+I;49;-5846,29943;11790,59886;11941,89108
