Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;458;-110298,28946;221512,57892;224031,56817
JTT;+G+I;439;-110343,18869;221564,37738;223978,86708
JTT;+G+F;457;-110337,50786;221589,01572;224102,50499
WAG;+G+I+F;458;-110353,96562;221623,93124;224142,92049
JTT;+G;438;-110375,22993;221626,45986;224035,44958
VT;+G+I+F;458;-110424,74607;221765,49214;224284,48139
VT;+G+I;439;-110513,77981;221905,55962;224320,04932
WAG;+G+I;439;-110599,64391;222077,28782;224491,77752
LG;+G+I+F;458;-110853,44504;222622,89008;225141,87933
CpREV;+G+I+F;458;-111165,76958;223247,53916;225766,52841
LG;+G+I;439;-111198,55456;223275,10912;225689,59882
LG;+G;438;-111229,81079;223335,62158;225744,61130
Blosum62;+G+I+F;458;-111322,46792;223560,93584;226079,92509
RtREV;+G+I+F;458;-111492,12563;223900,25126;226419,24051
DCMut;+G+I+F;458;-111550,26286;224016,52572;226535,51497
Dayhoff;+G+I+F;458;-111551,58199;224019,16398;226538,15323
Flu;+G+I+F;458;-111690,37890;224296,75780;226815,74705
HIVb;+G+I+F;458;-112306,88322;225529,76644;228048,75569
AB;+G+I+F;458;-112730,83324;226377,66648;228896,65573
MtREV;+G+I+F;458;-112823,22996;226562,45992;229081,44917
MtZoa;+G+I+F;458;-113614,58677;228145,17354;230664,16279
HIVw;+G+I+F;458;-114294,46051;229504,92102;232023,91027
MtMam;+G+I+F;458;-115432,73375;231781,46750;234300,45675
MtArt;+G+I+F;458;-116082,35291;233080,70582;235599,69507
LG;;437;-116822,11878;234518,23756;236921,72730
