Model;Decoration;K;Llk;AIC;BIC
Flu;+G+I;53;-3853,40156;7812,80312;7980,53677
Flu;+G;52;-3856,31885;7816,63770;7981,20657
JTT;+G+I;53;-3861,90379;7829,80758;7997,54123
HIVb;+G+I;53;-3863,65470;7833,30940;8001,04305
Flu;+G+I+F;72;-3856,80439;7857,60878;8085,47337
WAG;+G+I;53;-3876,74765;7859,49530;8027,22895
Flu;+G+F;71;-3860,96926;7863,93852;8088,63832
HIVb;+G+I+F;72;-3861,55271;7867,10542;8094,97001
CpREV;+G+I;53;-3887,11046;7880,22092;8047,95457
VT;+G+I;53;-3892,90033;7891,80066;8059,53431
AB;+G+I;53;-3901,28526;7908,57052;8076,30417
LG;+G+I;53;-3904,78400;7915,56800;8083,30165
LG;+G;52;-3908,99124;7921,98248;8086,55135
HIVw;+G+I+F;72;-3895,46814;7934,93628;8162,80087
HIVw;+G+I;53;-3923,65855;7953,31710;8121,05075
LG;+G+I+F;72;-3906,35514;7956,71028;8184,57487
Dayhoff;+G+I;53;-3930,82330;7967,64660;8135,38025
DCMut;+G+I;53;-3931,11536;7968,23072;8135,96437
Dayhoff;+G+I+F;72;-3918,61496;7981,22992;8209,09451
DCMut;+G+I+F;72;-3918,93170;7981,86340;8209,72799
Blosum62;+G+I;53;-3943,76930;7993,53860;8161,27225
AB;+G+I+F;72;-3940,51804;8025,03608;8252,90067
RtREV;+G+I+F;72;-3952,30556;8048,61112;8276,47571
RtREV;+G+I;53;-3973,95681;8053,91362;8221,64727
MtREV;+G+I+F;72;-3974,74066;8093,48132;8321,34591
MtZoa;+G+I+F;72;-3991,19895;8126,39790;8354,26249
MtMam;+G+I+F;72;-4030,26556;8204,53112;8432,39571
LG;;51;-4072,45646;8246,91292;8408,31700
MtArt;+G+I+F;72;-4068,72524;8281,45048;8509,31507
MtZoa;+G+I;53;-4117,65691;8341,31382;8509,04747
MtREV;+G+I;53;-4120,06920;8346,13840;8513,87205
MtMam;+G+I;53;-4174,75766;8455,51532;8623,24897
MtArt;+G+I;53;-4230,92317;8567,84634;8735,57999
