"
[[ * * * * Record No.1 * * * * ]]",gi|125838084|ref|XP_001345507.1| PREDICTED: collagenase 3 [Danio rerio]
"
[[ * * * * Record No.2 * * * * ]]","gi|966647435|gb|KTF82345.1| hypothetical protein cypCar_00004595, partial [Cyprinus carpio]"
"
[[ * * * * Record No.3 * * * * ]]",gi|33324363|gb|AAQ07962.1| matrix metalloproteinase 13 [Danio rerio]
"
[[ * * * * Record No.4 * * * * ]]",gi|166797027|gb|AAI59193.1| Mmp13 protein [Danio rerio]
"
[[ * * * * Record No.5 * * * * ]]",gi|688575181|ref|XP_009303831.1| PREDICTED: matrix metalloproteinase 13a isoform X1 [Danio rerio]
"
[[ * * * * Record No.6 * * * * ]]",gi|594190967|ref|NP_001277408.1| matrix metalloproteinase 13a precursor [Danio rerio]
"
[[ * * * * Record No.7 * * * * ]]","gi|966638367|gb|KTF73471.1| hypothetical protein cypCar_00048545, partial [Cyprinus carpio]"
"
[[ * * * * Record No.8 * * * * ]]",gi|94536884|ref|NP_001035381.1| stromelysin-2 precursor [Danio rerio] >gi|92096319|gb|AAI15114.1| Zgc:136396 [Danio rerio]
"
[[ * * * * Record No.9 * * * * ]]","gi|62202816|gb|AAH93333.1| LOC553390 protein, partial [Danio rerio]"
"
[[ * * * * Record No.10 * * * * ]]",gi|125858765|gb|AAI29281.1| Zgc:136396 protein [Danio rerio]
"
[[ * * * * Record No.11 * * * * ]]",gi|41350992|gb|AAH65591.1| Mmp13 protein [Danio rerio]
"
[[ * * * * Record No.12 * * * * ]]",gi|966645071|gb|KTF79983.1| hypothetical protein cypCar_00020277 [Cyprinus carpio]
"
[[ * * * * Record No.13 * * * * ]]",gi|966647434|gb|KTF82344.1| hypothetical protein cypCar_00004594 [Cyprinus carpio]
"
[[ * * * * Record No.14 * * * * ]]",gi|966647434|gb|KTF82344.1| hypothetical protein cypCar_00004594 [Cyprinus carpio]
"
[[ * * * * Record No.15 * * * * ]]",gi|966647434|gb|KTF82344.1| hypothetical protein cypCar_00004594 [Cyprinus carpio]
"
[[ * * * * Record No.16 * * * * ]]",gi|1040664668|ref|XP_017206678.1| PREDICTED: matrix metalloproteinase-20 [Danio rerio]
"
[[ * * * * Record No.17 * * * * ]]","gi|966642596|gb|KTF77508.1| hypothetical protein cypCar_00047206, partial [Cyprinus carpio]"
"
[[ * * * * Record No.18 * * * * ]]","gi|966642596|gb|KTF77508.1| hypothetical protein cypCar_00047206, partial [Cyprinus carpio]"
"
[[ * * * * Record No.19 * * * * ]]",gi|688588298|ref|XP_009290029.1| PREDICTED: matrilysin-like [Danio rerio]
"
[[ * * * * Record No.20 * * * * ]]",gi|966673437|gb|KTG06818.1| hypothetical protein cypCar_00005548 [Cyprinus carpio]
"
[[ * * * * Record No.21 * * * * ]]",gi|1040681210|ref|XP_017209448.1| PREDICTED: matrix metalloproteinase-16 [Danio rerio]
"
[[ * * * * Record No.22 * * * * ]]","gi|966702526|gb|KTG34767.1| hypothetical protein cypCar_00007061, partial [Cyprinus carpio]"
"
[[ * * * * Record No.23 * * * * ]]",gi|528483402|ref|XP_699803.4| PREDICTED: matrix metalloproteinase-24 [Danio rerio]
